GEOID,x,y,population
41015950302,-124.29381273600094,42.06139861271464,4947
41015950400,-124.02213777431722,42.08360135832951,4965
41015950301,-124.13894376598843,42.30006581878397,4060
41015950100,-124.19085302084865,42.72351244795211,2965
41015950200,-124.37293748766878,42.496551903461516,5440
41053020304,-123.22628970816832,44.84900835772528,6735
41053020303,-123.22426212611244,44.8748379573642,4693
41053020500,-123.29527660635229,45.008143417763335,6931
41005020302,-122.73347294256575,45.41068179126407,3944
41005022107,-122.56055418411049,45.425874615270594,4419
41005022605,-122.59035069910203,45.32010273409398,7846
41005022603,-122.56798004547207,45.32014764307285,4031
41005022710,-122.75227379791008,45.302896366260384,2621
41053005100,-123.05732963939904,44.94446293657627,2438
41005022205,-122.54871417761093,45.43787426641247,3802
41007950300,-123.78819970489488,46.191013546226586,2960
41007950600,-123.81351965300469,46.06062690843215,3184
41007950900,-123.92510757607772,45.99615047193238,4380
41007951300,-123.92099528275949,46.09911420538784,2485
41021960100,-120.21068526809522,45.37826908254808,1910
41047000300,-123.0264014074815,44.956963854555696,4873
41047001601,-122.98073823396892,44.99067143806561,7683
41047001604,-122.97758951402523,44.961732294850876,8090
41047000600,-123.01366093481512,44.94682930445492,4783
41047001100,-123.03378552825737,44.9056478606441,4650
41047001702,-122.97127586191145,44.947112901767966,5832
41047001801,-122.97839097672059,44.92415969937656,6633
41047002301,-123.07207487492532,44.870530050371585,3365
41047001200,-123.03782789104632,44.922411425265665,3745
41047010304,-122.85500300661673,45.13485515937068,6582
41047010701,-122.79870143217686,44.805243423224375,8123
41047010801,-122.93461945703342,44.78821207415953,6259
41047002600,-122.88044732239628,44.99324751099184,1996
41047010303,-122.90075232428806,45.130837040114336,5019
41047010503,-122.79189499756643,44.96143495982942,4241
41043030800,-122.94666949294488,44.56422864400594,7822
41043020200,-123.10223910020038,44.57559363967832,2026
41043020300,-123.1209228712815,44.616496987272704,7628
41043030300,-122.27272565147368,44.44628995965074,2262
41043030402,-122.67302198027292,44.36708318412991,7053
41043030904,-122.88649387805607,44.51935222570909,4462
41043020700,-123.09562232524257,44.600709301948264,6034
41043030401,-122.76839531642689,44.41144786067566,6823
41043030902,-122.8676247634234,44.499015658690794,7934
41043030903,-122.9075680626198,44.51466456393138,5540
41043020500,-123.07102486660119,44.630994626625956,3843
41043020600,-123.07191048852609,44.606732319439395,8306
41043030500,-122.95768621674374,44.34703498164957,4425
41043030600,-123.139404680442,44.365787699828225,7397
41043020100,-123.0529017980098,44.66436085672658,10045
41043030700,-123.13354609924659,44.548870365823674,3744
41043030200,-122.46305126327867,44.690608588480124,6494
41043030100,-122.86621941019288,44.645892559279964,6130
41043020400,-123.08990080667449,44.63831196497415,3940
41047001501,-123.00902549319905,45.009446835071955,4884
