GEOID,x,y,population
02198000300,-130.16624343245175,55.95431050253544,0
02198940100,-131.48345257004593,55.12840460934827,1684
02198000100,-133.30171192376585,55.74092105395652,2228
02198000200,-133.01509033541237,55.507456369387434,2561
02164000100,-156.5447968493506,58.27875386208606,1301
02016000200,-166.86305769060945,53.66088726171848,4809
02016000100,-77.71080737387476,52.485375264850724,975
02170000502,-150.27823522300164,61.442787451713265,2025
02170000501,-149.87575755164238,61.493951082400805,1653
02170001202,-149.16249337967918,61.58760544097538,5574
02170001003,-149.3491755383973,61.60278847458006,4093
02170000603,-149.66564685764317,61.52522022534582,7441
02185000100,-156.68726974348152,71.28261876758474,4444
02185000200,-153.6833952211859,69.32143222961687,2530
02185000300,-149.5562011776812,70.15393131405219,2783
02180000100,-164.2019521941069,64.84295686208357,5860
02180000200,-165.46834538366207,64.6186027797492,4009
02170000401,-149.792179805234,61.61761389399476,2068
02170001201,-149.11484965725876,61.57954027515765,5732
02170000706,-149.48913636767472,61.67216124363251,6355
02170000601,-149.43184118168878,61.50801199536819,5533
02282000100,-141.09498845600095,59.54746493501053,682
02070000200,-158.6503350406234,59.05143857978837,2234
02070000100,-158.34594115535276,59.71910366439138,2740
02110000300,-134.5603846714631,58.37655288016279,6057
02110000400,-134.44713067315294,58.382034540658196,4990
02110000600,-134.53343534577468,58.19223106470194,6071
02110000100,-134.8140002166836,58.684635159389224,4695
02110000200,-134.5731084265593,58.39754832849534,7400
02110000500,-133.95123293366186,58.37838009955628,3221
02290000400,-156.70364627466589,62.96390075106852,1028
02290000100,-144.44846211512018,66.85702505863418,1224
02290000200,-150.8712846389966,66.04121988649808,1378
02290000300,-156.2316978761893,65.34152395657122,1823
02068000100,-150.0117146757932,63.67164195119109,2303
02170001100,-149.23655120109046,61.57300726524233,6693
02170000200,-147.53613395666258,62.03104224505246,2136
02170000800,-149.47026794273162,61.58896029594267,5764
02220000200,-135.36199862640322,57.05020578486129,5365
02220000100,-135.30473739647226,57.18029313242156,3445
02170001300,-148.97121045107895,61.52391976449837,6356
02230000100,-135.33667138006584,59.559998854594525,1038
02105000300,-135.55973540903733,58.20907476788193,2084
02170000300,-149.17737190714163,61.74720667439174,6769
02170000900,-149.46186915079937,61.56945349768329,2981
02150000100,-153.75423599890667,57.65986595283971,1825
02150000400,-152.4061937385935,57.78025893243344,724
02150000300,-152.47513775659817,57.79166838319269,2581
02150000500,-152.5403917588287,57.744688734200494,1364
02150000200,-152.37802054075746,57.81375242874169,7279
02060000100,-156.98101533213378,58.73325607921872,917
02188000100,-159.9561256045385,67.0154905350417,4439
02188000200,-162.07626134686095,66.7103882122464,3276
02020002302,-149.93344120627265,61.16201976274836,5143
02020001601,-149.82402386813283,61.2032463964031,4107
02020002303,-149.92877081218612,61.14608329283213,9642
02020002502,-149.8716630909502,61.15910435570557,5275
02020001802,-149.823498477669,61.17559723913899,5142
02020001900,-149.88054604262058,61.18390686851124,4157
02020002601,-149.84539369258187,61.15179086297573,5447
02020001602,-149.8067208489668,61.189795962587326,4778
02020001701,-149.7633974365893,61.18801884690419,7136
02020002000,-149.90560585495294,61.18800265657312,3352
02020002100,-149.92269838336708,61.18794857546032,3684
02020002400,-149.9201804565234,61.17698859648284,3047
02020001702,-149.763199532059,61.2024578143366,5508
02020001731,-149.73355653840815,61.20235309675797,6206
02020002201,-149.9527657581905,61.18731310980271,5338
02020001500,-149.85235424253304,61.191543547651285,5416
02020002202,-149.93760051657867,61.18855020273768,3104
02020002501,-149.89996640570342,61.159382159593186,4802
02020001801,-149.84828514282725,61.1738819074218,4792
02105000200,-135.88854772242746,59.398703063111114,62
02020002821,-149.82263137843782,61.10157203160033,5096
02020000500,-149.91068422389168,61.23408312505683,1908
02130000100,-131.04456612178322,55.46126895412536,3482
02130000400,-131.536098855299,55.33880644583838,2370
02170001004,-149.32171818850802,61.58661007534324,5319
02170000701,-149.67370270114978,61.597143622813455,3203
02170000102,-148.86765739260363,62.385907659028,1903
02170000604,-149.9874861979142,61.351660226117936,4581
02170000705,-149.45101313569842,61.606684675578144,4722
02020002602,-149.81977357709468,61.15934413098238,6195
02020002811,-149.84536639660757,61.13038936399286,6202
02020002813,-149.64061290825424,61.12111857071538,5145
02240000100,-142.37625423482137,63.85634974987348,2135
02170000101,-150.39105044914626,62.45751350938056,580
02170000703,-149.57575384750584,61.605299556008355,3810
02170000402,-149.74431529693305,61.82191822556856,2123
02170001001,-149.32420180065714,61.627906530352355,3721
02013000100,-161.94722874685257,55.22452101753061,3338
02100000100,-135.46060548777885,59.07114751332605,2537
02261000300,-147.42925527742037,60.689509709198404,4537
02261000100,-143.96810467035328,61.88345373990826,1727
02261000200,-144.777361822033,60.527096065747386,3175
02020001300,-149.9484027224878,61.21120316055364,3223
02020000703,-149.72397265878084,61.22314103150966,5383
02020000801,-149.79253905736397,61.21686537064863,7102
02020000802,-149.79237396147226,61.203094250815,4932
02020000902,-149.85252573357695,61.204382750977054,2746
02020001400,-149.89157308491662,61.19941590325446,4847
