GEOID,x,y,population
04019003003,-110.86619554846405,32.24716098437523,4673
04019003707,-110.95228757774379,32.151829245088194,3449
04019004067,-110.8490480586464,32.24056653424637,2576
04019003303,-110.8666443610306,32.22061060592602,3582
04019003706,-110.95231971163578,32.159654477467306,5405
04019004426,-111.09163936221113,32.349402629412005,2659
04019004331,-111.00756154462083,31.88382847735633,3560
04019004068,-110.84447671467699,32.22796712452845,4773
04019004333,-111.085918608938,32.15131957189716,3822
04019004511,-110.9669486294277,32.27965817351763,4442
04019004725,-110.96917906223307,32.30902603497025,3061
04013093104,-112.17267542671371,33.515886900923675,4808
04013103205,-111.96948572226425,33.60427123546283,2928
04013103206,-111.9519100301319,33.60420610930328,2587
04013104501,-112.09129654150827,33.57115303715838,3872
04013104502,-112.09057240106075,33.57826921021873,5691
04013105002,-111.94847528935594,33.52237115258052,3078
04013107900,-111.96946559357579,33.51269739664227,3501
04013108000,-111.95928014102182,33.496733242028775,3242
04013116721,-112.01364689731396,33.30921074347941,3614
04013116725,-112.04698713399222,33.29740087561196,4904
04013116727,-112.0736647823028,33.29902194187242,3786
04013116728,-112.0619879745592,33.31244130355882,4634
04013420202,-111.69309442822427,33.430138369288414,5296
04013420207,-111.69235421175136,33.49012582010604,2837
04013420208,-111.72771087558662,33.430070397638374,5456
04013420209,-111.71040366592196,33.430090029300025,4142
04013040506,-112.33835204424082,33.6575456738334,5404
04013040507,-112.36043539887706,33.65526849415771,6395
04013082010,-112.24212667055664,33.48704084333605,4546
04013103207,-111.93450657856798,33.604414598793085,2565
04013103208,-111.98709198254319,33.59043169657605,4256
04013103209,-111.96118171322945,33.58642147034166,5051
04013116729,-112.02670983943237,33.31490034921416,4291
04013318800,-111.9525289694914,33.42912612217468,6691
04013319101,-111.92207380193254,33.416665066256066,3266
04013318900,-111.95217898786252,33.41466517922819,6695
04013319000,-111.93491811222542,33.41471037888817,8750
04013319403,-111.90021141333573,33.400241780448255,4718
04013319703,-111.96977935129941,33.385163291516406,4397
04013319404,-111.88681146482901,33.3933280842136,3739
04013319500,-111.91771099879833,33.40024786622495,6076
04013319704,-111.96963314523701,33.414532894087024,1645
04013420210,-111.69291432337434,33.444611963554436,5491
04013420211,-111.69257039573849,33.47357002832922,4224
04013420212,-111.69270486197018,33.45908791260133,3007
04013420301,-111.79555063741545,33.456451309407825,2292
04013420302,-111.7792654035628,33.45899700896419,5117
04013420303,-111.76201115140364,33.4591060994705,4420
04013420304,-111.74409960655899,33.46677698521228,1256
04013420501,-111.8311468662407,33.444138062224944,6757
04013103210,-111.98740810761775,33.60533279683996,6824
04013103211,-111.98691342782284,33.61899842983371,4035
04013103212,-111.9691439957239,33.61883198860036,4280
04013103214,-111.95171633799487,33.61870043021565,4088
04013103215,-111.98692386588806,33.63345650800017,3236
04013105101,-111.99693497581752,33.57407219294584,4378
04013105200,-112.05192590634884,33.561376632167786,6342
04013105300,-112.07385751318344,33.56025407867078,5594
04013108100,-111.9813053385923,33.50464491394957,2126
04013110001,-112.16012628033701,33.48441721002573,4740
04013112301,-112.16048081051215,33.46963215519296,5743
04013112402,-112.1777424462913,33.46961020258481,5463
04013061009,-112.4011825154488,33.464484219420115,10411
04013061100,-112.37337833586912,33.53604822910724,2333
04013061200,-112.34179664279083,33.44631395752683,6453
04013061300,-112.36342522622607,33.44151311603636,1894
04013071503,-112.27860895802955,33.609991656016724,4644
04013104600,-112.0736344871572,33.57515954797226,4390
04019002202,-110.95193650665458,32.19274221423293,3249
04019004723,-110.83297875210364,32.298349714633396,5092
04019001303,-110.98225351999217,32.25565078713184,2819
04019004069,-110.82113772024397,32.213951520686685,3731
04019004070,-110.81063285445607,32.2138057361814,3077
04019001304,-110.97084825271027,32.25589088862257,5218
04013216813,-111.9127988969272,33.57023359375773,4182
04013216816,-111.90768814076046,33.61170440911107,6186
04013216826,-111.88280750206481,33.58974517155139,4485
04013216902,-111.90009710293543,33.531154829186484,4025
04013217001,-111.91829593694635,33.516742406718436,4793
04013217101,-111.90461707076152,33.50202971768925,2811
04019004122,-110.93707428948215,32.14140717235901,4252
04013071504,-112.28025401964946,33.628166040593754,3301
04019004072,-110.8110435935346,32.227687786004275,2748
04019004071,-110.81936471728393,32.22876664737129,4739
04019004421,-111.15500945254875,32.206100206227724,7437
04013071505,-112.29827881781618,33.62370489467735,6788
04013111203,-111.9746085988939,33.453413352340995,1642
04013111204,-111.95531155171376,33.46093812958292,2372
04013111300,-111.98687507215442,33.47298425875695,5972
04013111402,-111.99987350987165,33.473066941910616,4600
04013980700,-111.73938110923666,33.6847731208353,0
04013217102,-111.89595353527402,33.50213541334128,3094
04013217201,-111.92466331727665,33.494517030306056,1775
04019001801,-110.92090118317282,32.24928762779569,5287
04019001802,-110.92120621953731,32.23822555603917,2431
04019002703,-110.94937093942737,32.26412304449341,4094
04019002905,-110.90338432800219,32.26472723933118,3584
04013523006,-111.86773855279694,33.3133108911227,5738
04013523102,-111.8328861019315,33.29890211629162,5450
04013523103,-111.86761060011136,33.298723971153564,5336
04013422102,-111.86573955853154,33.40412984391099,4824
04013422103,-111.86980907123431,33.39667475056722,4527
04013422104,-111.87995656905984,33.401304756803746,6602
04013422105,-111.84859432000489,33.396837821934824,3795
04013422106,-111.84844974706076,33.404094575912524,6847
04013422107,-111.86126014150567,33.39711051174349,4086
04013422203,-111.84902461701334,33.38584311176108,5049
04013422204,-111.86663279481907,33.385848358852456,2939
04013422205,-111.88140159128105,33.38395968673399,1422
04013422209,-111.85040070993695,33.34241878967272,6731
04013941100,-111.94427877281474,33.2477663220306,47
04013217700,-111.90031836909458,33.48763004369975,5358
04013319600,-111.93490620357252,33.400179920023874,6362
04013421901,-111.81419080437087,33.39698189474275,3981
04013422501,-111.7624714421136,33.400933717066685,6150
04013422502,-111.77973285791282,33.40087754097675,6173
04013422210,-111.8677211094781,33.34238120467727,5569
04013422211,-111.885037085058,33.34224670171655,2656
04013422212,-111.88584407954984,33.37099317490844,4378
04013422213,-111.88534270494907,33.36023818655931,2738
04013422216,-111.85072467066023,33.37154469111932,5940
04013422218,-111.88518821974154,33.353042695349885,2872
04013422219,-111.8678012313059,33.353236070425254,3016
04013422220,-111.85045694263765,33.353290943819644,1996
04013422301,-111.82302472883273,33.386099617711174,5800
04013422302,-111.79709238170338,33.386061867936704,5053
04001945100,-109.31836125740453,35.08704819896226,2383
04001944300,-109.67554908359575,36.15151281955799,6801
04001970300,-109.27040191777911,34.31966321630982,3792
04001942700,-109.36607973808663,36.75266673374086,4661
04001942600,-109.85432047756437,36.74039148645929,1552
04001970200,-109.51149621860174,34.69998937286762,4954
04001944100,-109.31361794887096,36.386948097397664,5869
04013618300,-112.14316554575196,33.643399709654624,3256
04013116605,-112.15961877424903,33.38481585336688,6471
04013116606,-112.14232916567742,33.384867640054736,7267
04013811200,-111.88524535658054,33.29866224441871,3003
04013216848,-111.78774538117388,33.59285703063448,6377
04013216851,-111.83811922973423,33.6774099746274,3910
04013613000,-111.95852522530096,33.776757781801884,4590
04013619100,-112.06336459125362,33.643945504482744,3631
04013811400,-111.81550396471047,33.31358264389073,5410
04013815700,-111.71351073354431,33.28597082047261,5597
04013816700,-111.67762637760336,33.25722625966099,2202
04013980100,-112.88183901358835,32.66947895567764,0
04013093001,-112.16081215757775,33.53421380772068,5655
04013611300,-112.15679544568106,33.77034597049636,5423
04013092717,-112.21175904052993,33.534511544322804,5320
04013117100,-112.07402123596414,33.49911888208504,2287
04013117300,-112.11432336494765,33.41927571430364,1265
04013811800,-111.88486455129477,33.28368018579814,2382
04013116607,-112.12499819574319,33.39942791565526,3015
04013116608,-112.19878488943284,33.36558369429128,4364
04013116609,-112.17713412259303,33.355199253800286,4814
04013116610,-112.15183781937698,33.37026229522388,5482
04013116611,-112.15378675971732,33.34386638240809,3697
04013116612,-112.1258059208236,33.37040244448417,5693
04013116613,-112.10526060028367,33.374630107471575,7059
04013815400,-111.75144149895792,33.28857562152813,8605
04013815500,-111.73830227733178,33.29958124224126,6128
04013815600,-111.70362816144424,33.2994134342556,5841
04013815900,-111.75795909818018,33.26405838559263,9383
04013422641,-111.661659236724,33.357602710122585,7034
04013422642,-111.62743168311587,33.371807652277234,5463
04003002001,-110.24032841907011,31.4763546587061,5217
04015951602,-114.6233194915181,35.11396489986183,4240
04027000907,-114.65278763073515,32.67679032318605,7203
04013092718,-112.21181979070475,33.52726428764207,4089
04013092720,-112.27797703985033,33.52976562705618,5342
04013092723,-112.2983535394341,33.55824209832376,3775
04013092724,-112.2811567479773,33.558414475247325,3873
04013092802,-112.19467534135244,33.527591788284326,6154
04013093002,-112.1592115351417,33.52730704787476,4499
04013093106,-112.19473903477216,33.51303969741358,4575
04013050607,-112.62761356498791,33.38629321011652,7739
04013060904,-112.3110134344118,33.60166427462629,3693
04013216831,-111.92705902479688,33.5912791577483,2968
04013216832,-111.86407848733916,33.578035307029175,1921
04013216834,-111.91686098663646,33.55692860715221,2109
04013216835,-111.91454917603467,33.54564629626032,2630
04013217204,-111.91334267568521,33.49854004084541,3685
04013217502,-111.93087313613626,33.48504513088624,2880
04013319103,-111.9161746238775,33.41899692998823,4798
04013319104,-111.91768636434075,33.41114381573609,6356
04013319201,-111.90024923645468,33.41842856485635,6049
04013116732,-112.1033054277118,33.35436528251847,4267
04013811900,-111.86744761848243,33.28384945670904,5950
04013812000,-111.85015977212831,33.28406711530974,4859
04013812200,-111.87594269641978,33.2688798702496,7489
04013813800,-111.81513752344168,33.211668035594116,2252
04013814200,-111.81562486810463,33.33199885981757,2651
04013814300,-111.79843088341092,33.32815012031341,3786
04013422643,-111.61852379280346,33.357267472328886,6361
04013422644,-111.59855093114874,33.36682793899907,8568
04013980600,-111.61909763570664,33.33555277154514,1803
04013422646,-111.59315069802456,33.335382584292944,11688
04013816100,-111.7085972613698,33.26949157526837,7136
04013816200,-111.69355394625818,33.273010851481615,3630
04013816300,-111.70289279508447,33.256396158033866,4779
04015952004,-114.58442198144408,35.01502197853642,3479
04015951601,-114.60206345315125,35.11635231459834,3167
04027980006,-114.60236848621857,32.644364168214885,3781
04027000501,-114.65062467594211,32.70207843248045,3132
04027001004,-114.63122313576417,32.678350403250164,2294
04027001003,-114.62663193565655,32.67294927930075,1079
04027000905,-114.6718772970185,32.69109834761566,8072
04027011114,-114.40539903499194,32.6360370875812,2144
04013061016,-112.43166891195175,33.494674257240895,6089
04013217501,-111.9386784686685,33.48636875184812,3991
04013061031,-112.4328712380851,33.59882881800004,4564
04013061043,-112.32956033634831,33.56934141218649,2727
04013083000,-112.26079094693708,33.44903198656398,7052
04013093200,-112.22038188713576,33.55963493175902,3245
04013319202,-111.90026560246841,33.41113154500224,3324
04013319705,-111.9520566833607,33.39655403676556,3551
04013319706,-111.95253034287407,33.38199774473714,5913
04013320100,-111.94310466354355,33.44288772413451,2972
04013420115,-111.62021702310163,33.41872637061409,3015
04013420116,-111.5941822783549,33.41870662848134,2578
04013420214,-111.70177484607841,33.41923646402418,3585
04013420215,-111.72755220660197,33.444563494391595,1856
04013420707,-111.76235347486612,33.41910755388126,2403
04013814600,-111.74716075376413,33.32106902343347,4741
04013816500,-111.69451574723048,33.22681309441844,4286
04013817400,-111.8845696537732,33.210876089760156,2809
04013612500,-111.98353968606935,33.786532030083265,4404
04013614600,-112.1236580419823,33.676414031666525,6316
04013618400,-112.12453541420058,33.65104421595673,3662
04013618900,-112.07417594065497,33.64748796248683,6927
04013816400,-111.71186412104016,33.22657911720947,7798
04013816800,-111.6552966231807,33.25881588098088,4389
04013816900,-111.61165516005912,33.259183063520794,5871
04013817000,-111.66023344519986,33.241482626694,3465
04013817100,-111.61930127106906,33.236681960069696,9317
04013817300,-111.87558344133267,33.22544910376347,5441
04013817500,-111.8670659818035,33.21093700788,2969
04027000502,-114.64893263775639,32.712597038008425,3103
04027000404,-114.65880007893914,32.71777429533907,3176
04027001001,-114.62633404965852,32.656600767447046,2165
04027010905,-114.45755225279576,32.68725236523467,3245
04027011110,-114.43187707273637,32.66308212807105,2950
04027010907,-114.43011442606957,32.6840014666197,5472
04013071514,-112.2451989210182,33.63074148638218,4238
04013040512,-112.39097346554075,33.677560694927706,1747
04013040513,-112.3659378467194,33.67461553951863,2971
04013040522,-112.38023719238534,33.68784796696445,4272
04013040523,-112.34942443447082,33.690657719384966,2961
04013040524,-112.41643257747594,33.676163898558976,1450
04013420708,-111.74502844234581,33.41913532078574,4261
04013420709,-111.76241041264129,33.41184526565495,3231
04013420710,-111.74509954143974,33.41188094080021,3709
04013421001,-111.83562605460146,33.42958755754654,4011
04013421303,-111.86873996229177,33.418311104783335,5360
04013421701,-111.77961908047199,33.419041766923364,4551
04013421702,-111.7796786297596,33.41177847723838,4291
04013422221,-111.87231261906322,33.37187191457514,3872
04013422222,-111.86278826578337,33.37072897110986,2261
04013422622,-111.69642138815298,33.3722193326801,4282
04013216830,-111.93473545613607,33.58238777135576,3274
04013216833,-111.85215879335861,33.573507785705765,4710
04013723303,-112.3796121152446,33.33854488447678,24
04013610300,-112.13379379895444,33.85057452863151,10012
04013216837,-111.83734713310596,33.58900257469331,5249
04013216838,-111.88284919422225,33.60425309445932,5205
04019004115,-110.91863278975929,32.14349274805697,6992
04013980500,-111.88633119543461,33.243925298979605,30
04013980400,-111.95879093676132,33.29807357101512,11
04013522904,-111.82847031432445,33.313459900148146,4857
04013610700,-112.02152915558416,33.85574470447633,7279
04013611200,-112.21145647045691,33.71098385469616,5941
04013611700,-112.17762601668024,33.7051890004509,6494
04013611800,-112.1436290728054,33.7055158374582,6707
04013612600,-111.9903159662886,33.76436608946959,2351
04027011111,-114.4499985992349,32.64035656751913,3517
04027011405,-114.76507798958824,32.489361856736984,5829
04027011403,-114.77704377668204,32.49247145410598,4533
04027011503,-114.70713818022625,32.60464931907007,5755
04027011700,-114.47079341571629,32.679553924271254,1295
04027010911,-114.51140421236671,32.687608578995665,6341
04019004323,-110.9637569734695,31.977263691633095,4062
04019004326,-110.97331467647555,31.9323628622497,3539
04019004640,-110.99364703428215,32.46239075284381,5225
04013040525,-112.42696209980076,33.66084152381946,3420
04013040526,-112.44328148909763,33.64549388750079,2053
04013040527,-112.42657509025305,33.646322724367494,3614
04013050606,-112.48768090124034,33.49294478321043,9096
04013060801,-112.3294910652426,33.632023614344725,5484
04013422624,-111.72645396633813,33.41174342601428,2645
04019005300,-110.72770836185332,32.24292934454778,3879
04019004429,-111.12088477310222,32.34783345080731,7902
04019004073,-110.82427702383588,32.116967689633405,4815
04019004064,-110.72229360804229,32.112847851845935,9336
04019004120,-110.95443041260593,31.774022107288804,1064
04019004332,-111.01661859816265,31.86897356511269,1366
04019004422,-111.0630779970314,32.20418096364967,5207
04019004118,-110.89223463358903,32.151224069137534,5032
04013422625,-111.70070636968273,33.412157518846584,3892
04013422626,-111.67253938939837,33.411629183301315,2898
04013422627,-111.64654109996822,33.411498321080686,3765
04013422628,-111.61970864635147,33.41147473276799,3541
04013422629,-111.59368955972877,33.41145530859736,3331
04013422630,-111.62566765163945,33.40103311377193,5217
04013422633,-111.67656052184793,33.3861686221618,3222
04013422635,-111.64177143862815,33.386548090629724,1705
04013216839,-111.86244248298215,33.60350277696133,4020
04013216840,-111.90801920380153,33.71270427197627,4787
04013216841,-111.90805063133561,33.69146566840764,3571
04013216842,-111.9105751699443,33.67798504166054,3763
04013216844,-111.90483067051674,33.66321403494959,4350
04013216845,-111.90874934622727,33.644439555240375,2215
04013612700,-111.97961863939447,33.759349689517975,2307
04013612800,-111.98756775046118,33.74679639901571,2106
04013613300,-111.96934927482546,33.7188335978061,7541
04013613800,-112.24568497289948,33.684250495072384,4186
04013613900,-112.23026557137428,33.68324796771389,6179
04013614000,-112.21174343648651,33.689017096607884,4425
04027011115,-114.36102561535141,32.64321776036054,3076
04027011406,-114.73754016071685,32.49573893273352,9190
04027010910,-114.39098946311334,32.70425349176084,1355
04027011108,-114.45253750561093,32.663315293927134,4100
04013060802,-112.31401036732709,33.620158679534775,2726
04013060901,-112.33537229156262,33.617948510656035,5069
04013060902,-112.32628508062449,33.61205844742878,3367
04013060903,-112.32033407043559,33.60171019465698,5792
04013061010,-112.35894274222555,33.49945699505717,5449
04013061011,-112.32686497797924,33.53074843883012,7226
04013061013,-112.3252285628041,33.50061645143663,6273
04013061015,-112.33031499572418,33.47195736367564,5422
04013061018,-112.4011309690161,33.48599915799192,4419
04013422639,-111.69586659695035,33.39606205899827,3589
04013104301,-112.12878747187035,33.58912879087859,3740
04013104302,-112.1207578818023,33.589234007828075,3473
04013106501,-112.06063535926691,33.530998681098204,3296
04013110801,-112.02156301491387,33.49139144229369,5710
04013110902,-111.9998379817849,33.48780710138403,5359
04013112509,-112.22756716442143,33.46566342676877,11539
04013113502,-112.01718189140679,33.45493339485807,3280
04013113801,-111.99389482368758,33.44739598369251,2096
04013216846,-111.86601858055877,33.63156665302304,7041
04013216847,-111.87782530130595,33.65662293721536,7091
04013611000,-112.24606732062352,33.73961126726696,2668
04013611100,-112.24932587665074,33.7207420702404,3169
04013611400,-112.19550567959244,33.728276333411635,6142
04013614100,-112.21499463401763,33.67421090714196,6888
04013614200,-112.19437260450005,33.68367406959952,4597
04013614300,-112.16388806773107,33.68450954026555,3223
04013614400,-112.14133127985161,33.67708661236948,3774
04013615300,-112.29878280661211,33.65979388346501,1924
04013615600,-112.24465499235369,33.66029147854177,3107
04013061020,-112.36769254175474,33.48576159046436,3764
04013061021,-112.34822709027382,33.48474957003724,2117
04013061022,-112.40122236500389,33.442820043062504,10647
04013061023,-112.41828725451882,33.428316749626205,11473
04013061025,-112.4423922125853,33.63144798917416,10056
04013061026,-112.41811308772421,33.63159570999156,5526
04013061027,-112.40174351676379,33.63148328373052,4873
04013061028,-112.376620544232,33.631282800724264,2967
04013116800,-112.10860304316549,33.46585450168822,2586
04013116900,-112.12362154357673,33.48771120069212,2622
