GEOID,x,y,population
36093033102,-74.18048985828543,42.779902247805566,6573
36093020102,-73.91614052164846,42.82953763160144,3167
36093032504,-74.03113380095635,42.91037010099028,2121
36081003400,-73.85818688521958,40.68477307306348,2561
36081003900,-73.94093146982,40.76279941336002,1690
36081003600,-73.85681746645001,40.68377133443408,3748
36081003700,-73.94334101807704,40.76242335375482,0
36081003800,-73.84749399622815,40.68479987520622,2681
36081004001,-73.8458742587586,40.683248101871136,2422
36081004200,-73.85796396921384,40.6818145154371,4665
36081004300,-73.93751422247351,40.76094509795726,2671
36081077907,-73.81848023150894,40.72496230825368,3137
36081023500,-73.91759418324445,40.7393490856128,8238
36081024000,-73.80507928339944,40.70327751470854,6659
36081024300,-73.90204028603235,40.73666666912474,5963
36081077908,-73.81369289041183,40.72561676546198,4084
36081024500,-73.90504858538974,40.73935402643868,5608
36081024900,-73.90425543143103,40.743115127592006,4981
36081025100,-73.909656195575,40.74482233907078,6339
36081025500,-73.90792000650423,40.750426364816406,1410
36081025700,-73.90517469527673,40.75010448147111,1422
36081097204,-73.7811282821176,40.59390691965873,3741
36081100801,-73.76777508042277,40.610786825637746,2506
36007012701,-75.83414051629961,42.03977881066063,5291
36081102900,-73.80736492557787,40.78387081454535,3827
36047021100,-73.97502593200119,40.69716596247937,1829
36081025800,-73.78727946036922,40.69604203492646,2203
36081026000,-73.79330774615144,40.69275243514871,2661
36081026200,-73.79209235019783,40.69100786823806,1153
36081026300,-73.89712197430794,40.74566424654393,6884
36081026500,-73.89339424362294,40.745097237746194,3807
36081026600,-73.78169492991607,40.69188119903517,2046
36047048500,-73.93634938312974,40.70783996495269,2802
36081107202,-73.81266405390166,40.61823992052418,0
36081103201,-73.7554347520644,40.60863533862977,6544
36081103202,-73.74753300639357,40.60665231204042,8014
36081103900,-73.81909332070246,40.78404785824712,7088
36081104700,-73.82037087878564,40.77481579069895,6882
36081105900,-73.80706483656878,40.773769611441274,4352
36081027000,-73.79139770488787,40.68868429271583,1989
36081027100,-73.87948670716844,40.74521208004901,8744
36081027200,-73.79132014000011,40.683577210533485,2339
36081027300,-73.87277317712594,40.752197728604315,7683
36081027400,-73.7889890354479,40.68490498540735,1745
36081027800,-73.78291641882106,40.686096059519286,2374
36081027900,-73.88022225118753,40.75167293449327,6359
36081028000,-73.77971915721166,40.68831581524623,1923
36081028100,-73.88259201127978,40.752220406946954,4547
36081028200,-73.77388735139273,40.684994687714614,1883
36081028400,-73.77785681519032,40.68250335860174,4310
36081094500,-73.83144203714501,40.79050890639844,3896
36081094700,-73.8413716806098,40.78557660881219,2536
36081096400,-73.79216682095696,40.592812729236435,5640
36047062000,-73.94592833702268,40.57917541313891,2112
36081097300,-73.82272567897508,40.7954346360968,1812
36081098100,-73.817080233692,40.798995486467554,2417
36081098700,-73.80708390690027,40.7965145898673,2519
36081099100,-73.79892829340861,40.79222155560842,7051
36055013300,-77.67221445460328,42.980559783529216,3499
36081099200,-73.76701149850564,40.592667761032395,4146
36047080800,-73.939486388764,40.65730325834038,1338
36081099900,-73.77672420539838,40.79160542844085,0
36047123700,-73.95674042405626,40.69673838345363,6300
36081112300,-73.7712452750267,40.76629199166817,1976
36081109700,-73.77731308629517,40.770346607167745,1703
36081109900,-73.78649429836526,40.76794532626556,3557
36081112900,-73.77681695737881,40.76540093154204,2131
36081113900,-73.79062667554447,40.76423060147518,3131
36081114100,-73.79668951413534,40.769096979342024,2469
36081029100,-73.89519937870396,40.751335882054725,6767
36081029300,-73.8994830353731,40.75193268796592,1097
36081029500,-73.90673060415685,40.755998069327234,3451
36081029700,-73.90300157174356,40.758683108533255,2117
36081028700,-73.88943591382515,40.75096545705471,6377
36081028800,-73.78594117142632,40.67876623513084,5154
36081028900,-73.89190222609565,40.75127854249731,5251
36081029900,-73.89939834514823,40.76398813282161,0
36081030902,-73.89615886298762,40.75805976780428,7652
36081031700,-73.89304206051091,40.77092191369645,6271
36081032000,-73.76497316209026,40.66134086610055,5097
36081032800,-73.75569793059142,40.67183740025918,2526
36081032900,-73.8827318476326,40.764435075852944,3983
36081033000,-73.76373608473438,40.670134761882636,6921
36081033100,-73.87248890279427,40.77629974015462,0
36081033402,-73.77180934543912,40.67527518046146,13204
36081033900,-73.879838270187,40.759023787723386,3016
36081039400,-73.75877858091133,40.68963987582538,3013
36081039800,-73.76480976852783,40.69456218171818,1781
36081040100,-73.85709588357821,40.75146837943921,7637
36081040200,-73.76876295746683,40.70003164616641,1811
36081040400,-73.77079373298258,40.70519372948144,4415
36081040500,-73.86284533200751,40.74986704668316,3350
36081040700,-73.8656140970501,40.750382348236535,8990
36081041100,-73.86541882149834,40.74379115579635,4108
36081041400,-73.78077045307595,40.699631751428676,4279
36081041500,-73.85659902733165,40.74660506918069,4278
36081042700,-73.85381283576983,40.743715855252056,5552
