GEOID,x,y,population
23025965700,-69.40411780482063,44.97505642068291,3053
23009965200,-68.53947848236628,44.69951794145329,2401
23025965800,-69.34576567928305,44.81816650987092,2977
23025966500,-69.80560992439734,44.83238741283573,4726
23029955100,-67.78568215513528,45.20151296282834,2759
23029955500,-67.22391983992982,45.133952176879255,3018
23029955800,-67.14106822368026,44.758955389978844,2442
23029956100,-67.3973249787881,44.70285514266409,2563
23029956500,-67.91787930177296,44.5415970629907,3799
23029955700,-67.0111933320444,44.91462910255608,1399
23029955600,-67.12509698836374,45.01888472970591,1925
23029956300,-67.57002217709463,44.61167448966032,2799
23029955300,-67.54813294921958,45.10870977142105,1391
23031031000,-70.91151256507722,43.4033323639342,6168
23031030300,-70.70746410956338,43.39802043918517,3435
23031022500,-70.88399195408594,43.74441807903251,3247
23031021000,-70.6245170061346,43.629532452422815,4473
23031036001,-70.64193338425022,43.14330376615863,6512
23031025300,-70.42553235615914,43.45291467505664,3060
23031025400,-70.36555447339582,43.44277972269993,2088
23031028002,-70.5299460251785,43.37338806832978,7839
23031024500,-70.62148769780822,43.51618215231817,6357
23031020000,-70.53764273253455,43.64283812684839,8158
23031024000,-70.73029674986854,43.597190392076506,7747
23031036002,-70.67032553388508,43.19818676977486,6360
23031038001,-70.67259175311966,43.05568468141487,6230
23031005400,-70.39272462305074,43.481190184967524,2723
23031028001,-70.60287181405,43.41573481418744,3384
23031023500,-70.88666699777947,43.56988697038893,6698
23031030201,-70.80193608498786,43.43820721477791,3340
23031027000,-70.44951539643719,43.39667188160543,3548
23011024102,-69.6348901714627,44.548201991092334,4692
23011014500,-70.06780655548476,44.396285416501435,2135
23011018000,-69.64785034228619,44.42989576927767,4330
23019028500,-68.73212410712767,45.320853347099806,1391
23019028000,-68.58521104651366,45.26903994635478,1532
23019000300,-68.74265392429746,44.82242044413127,4783
23031005100,-70.48220957354599,43.55315030613526,4732
23031005200,-70.42607156129783,43.53003582264967,4638
23031005300,-70.45830563697353,43.50497757006607,7034
23031022000,-70.70263021839384,43.735627352994165,3778
23031025202,-70.45298479705632,43.48479484846197,7782
23031030202,-70.75164707611819,43.437894363131676,6010
23031023000,-70.78642234414036,43.68861180949462,2915
23031030100,-70.81748296292068,43.4644326415123,4195
23031035000,-70.74775705329179,43.23879039775876,7363
23031033000,-70.77797489619046,43.34504423260895,4660
23031037000,-70.78602549456296,43.148824049532784,6380
23031034001,-70.58805051916738,43.304280262959296,5841
23031025100,-70.5109453128063,43.49046244404983,3505
23031025201,-70.46612605413293,43.49055690876355,4978
23011010900,-69.7918361420717,44.22811196389153,1430
23019027000,-68.45457824233046,45.35443696862714,4986
23019015500,-69.1469586965273,45.00902125253603,2298
23019006200,-68.72910690655469,44.88708045471721,3074
23019000700,-68.81586993224397,44.79830200368171,2775
23019015000,-69.28194829895719,45.03885137116186,3766
23019014000,-69.25691086708068,44.9498030246746,1918
23019012500,-69.17535256353246,44.72997217698526,2563
23019007100,-68.66142155169874,44.9315027996561,4527
23019004200,-68.74911796459097,44.76578787165726,2365
